,Platform,Global_Sales
16,PS2,0.0
28,X360,0.0
17,PS3,0.0
26,Wii,0.0
4,DS,0.0
15,PS,0.0
6,GBA,0.0
19,PSP,0.0
18,PS4,0.0
13,PC,0.0
29,XB,0.0
5,GB,0.0
11,NES,0.0
2,3DS,0.0
10,N64,0.0
7,GC,0.0
23,SNES,0.0
30,XOne,0.0
0,2600,0.0
27,WiiU,0.0
20,PSV,0.0
21,SAT,0.0
8,GEN,0.0
3,DC,0.0
22,SCD,0.0
12,NG,0.0
25,WS,0.0
24,TG16,0.0
1,3DO,0.0
9,GG,0.0
14,PCFX,0.0
